N,Treatment_,Diversity,Treatment,Treatment_1_,biocontr,Host_diversity,Pot,Plant,Plant_N,Aphid_Number,Aphid_Number_ln,Plant_weight,Aphid_load_ln,Aphid_load,Aphid_load_1,Aphid,Garlic,Predator,Garlic_weight,Garlic_weight_ln
101,poli__aphid_garlic,poli,poli_garlic,pg,2,3,19,wheat,101,7,1.945910149,0.032,5.387929525,218.75,218.75,1,1,0,0.47,-0.755022584
102,poli__aphid_garlic,poli,poli_garlic,pg,2,3,19,rye,102,15,2.708050201,0.036,6.032286542,416.6666667,416.67,1,1,0,0.47,-0.755022584
103,poli__aphid_garlic,poli,poli_garlic,pg,2,3,20,barley,103,31,3.433987204,0.044,6.557552849,704.5454545,704.55,1,1,0,0.5,-0.693147181
104,poli__aphid_garlic,poli,poli_garlic,pg,2,3,20,wheat,104,6,1.791759469,0.022,5.608472295,272.7272727,272.73,1,1,0,0.5,-0.693147181
105,poli__aphid_garlic,poli,poli_garlic,pg,2,3,20,rye,105,21,3.044522438,0.0269,6.66015143,780.669145,780.67,1,1,0,0.5,-0.693147181
106,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,21,barley,106,3,1.098612289,0.021,4.96184513,142.8571429,142.86,1,0,1,0,0
107,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,21,barley,107,22,3.091042453,0.034,6.472437208,647.0588235,647.06,1,0,1,0,0
108,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,21,barley,108,22,3.091042453,0.054,6.009813686,407.4074074,407.41,1,0,1,0,0
109,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,22,barley,109,21,3.044522438,0.036,6.368758778,583.3333333,583.33,1,0,1,0,0
110,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,22,barley,110,7,1.945910149,0.03,5.452468046,233.3333333,233.33,1,0,1,0,0
111,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,22,barley,111,2,0.693147181,0.011,5.203007187,181.8181818,181.82,1,0,1,0,0
112,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,23,barley,112,2,0.693147181,0.02,4.605170186,100,100.00,1,0,1,0,0
113,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,23,barley,113,3,1.098612289,0.027,4.710530702,111.1111111,111.11,1,0,1,0,0
114,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,23,barley,114,22,3.091042453,0.038,6.361211573,578.9473684,578.95,1,0,1,0,0
115,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,24,barley,115,5,1.609437912,0.028,5.184988681,178.5714286,178.57,1,0,1,0,0
116,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,24,barley,116,17,2.833213344,0.032,6.27523272,531.25,531.25,1,0,1,0,0
117,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,24,barley,117,17,2.833213344,0.032,6.27523272,531.25,531.25,1,0,1,0,0
118,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,25,barley,118,19,2.944438979,0.042,6.11452464,452.3809524,452.38,1,0,1,0,0
119,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,25,barley,119,10,2.302585093,0.031,5.776353168,322.5806452,322.58,1,0,1,0,0
120,barley_mono_aphid_ladybeard,mono,mono_ladybeard,ml,1,1,25,barley,120,22,3.091042453,0.039,6.335236086,564.1025641,564.10,1,0,1,0,0
121,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,26,barley,121,8,2.079441542,0.04,5.298317367,200,200.00,1,1,1,0.569,-0.563874845
122,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,26,barley,122,9,2.197224577,0.036,5.521460918,250,250.00,1,1,1,0.569,-0.563874845
123,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,26,barley,123,8,2.079441542,0.034,5.460836296,235.2941176,235.29,1,1,1,0.569,-0.563874845
124,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,27,barley,124,4,1.386294361,0.025,5.075173815,160,160.00,1,1,1,0.273,-1.298283484
125,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,27,barley,125,5,1.609437912,0.029,5.149897361,172.4137931,172.41,1,1,1,0.273,-1.298283484
126,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,27,barley,126,4,1.386294361,0.018,5.403677882,222.2222222,222.22,1,1,1,0.273,-1.298283484
127,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,28,barley,127,11,2.397895273,0.041,5.592078485,268.2926829,268.29,1,1,1,0.609,-0.495937011
128,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,28,barley,128,6,1.791759469,0.035,5.144166687,171.4285714,171.43,1,1,1,0.609,-0.495937011
129,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,28,barley,129,20,2.995732274,0.05,5.991464547,400,400.00,1,1,1,0.609,-0.495937011
130,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,29,barley,130,3,1.098612289,0.03,4.605170186,100,100.00,1,1,1,0.495,-0.703197516
131,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,29,barley,131,17,2.833213344,0.044,5.956778989,386.3636364,386.36,1,1,1,0.495,-0.703197516
132,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,29,barley,132,3,1.098612289,0.023,4.870873352,130.4347826,130.43,1,1,1,0.495,-0.703197516
133,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,30,barley,133,4,1.386294361,0.024,5.11599581,166.6666667,166.67,1,1,1,0.214,-1.541779264
134,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,30,barley,134,0,0.1,0.017,0,0,0.01,1,1,1,0.214,-1.541779264
135,barley_mono_aphid_ladybeard_garlic,mono,mono_ladybeard_garlic,mlg,2,1,30,barley,135,2,0.693147181,0.022,4.509860006,90.90909091,90.91,1,1,1,0.214,-1.541779264
136,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,31,barley,136,11,2.397895273,0.031,5.871663347,354.8387097,354.84,1,0,1,0,0
137,poli__aphid_ladybeard,poli,poli_ladybeard,pl,2,3,31,wheat,137,4,1.386294361,0.029,4.92675381,137.9310345,137.93,1,0,1,0,0
